Tamil,English
அளாவிய,alaaviya
கூழ்,koozh
மக்கள்மெய்,makkalmey
தீண்டல்,theental
உடற்கின்பம்,utarkinpam
அவர்,avar
சொற்கேட்டல்,sorkettal
செவிக்கு,sevikku
குழல்,kuzhal
இனிது,inidhu
யாழ்இனிது,yaazhinidhu
மழலைச்சொல்,mazhalaichchol
கேளா,kelaa
தவர்,thavar
தந்தை,thandhai
மகற்காற்று,makarkaatrum
நன்றி,nandri
அவையத்து,avaiyaththu
முந்தி,mundhi
இருப்பச்,iruppach
தம்மின்தம்,thammindham
அறிவுடைமை,arivutaimai
மாநிலத்து,maanilaththu
மன்னுயிர்க்,mannuyirk
கெல்லாம்,kellaam
ஈன்ற,eendra
பொழுதின்,pozhudhin
பெரிதுவக்கும்,peridhuvakkum
தன்மகனைச்,thanmakanaich
சான்றோன்,chaandron
எனக்கேட்ட,enakketta
தாய்,thaai
மகன்தந்தைக்கு,makandhandhaikku
ஆற்றும்,aatrum
உதவி,udhavi
இவன்தந்தை,ivandhandhai
என்நோற்றான்,ennotraan
கொல்,kol
எனும்,enum
சொல்,"chol, sol"
அன்பிற்கும்,anpirkum
உண்டோ,unto
அடைக்குந்தாழ்,ataikkundhaazh
ஆர்வலர்,aarvalar
புன்கணீர்,punkaneer
பூசல்,poosal
தரும்,tharum
அன்பிலார்,anpilaar
தமக்குரியர்,thamakkuriyar
அன்புடையார்,anputaiyaar
என்பும்,enpum
உரியர்,uriyar
பிறர்க்கு,pirarkku
அன்போடு,anpotu
இயைந்த,iyaindha
வழக்கென்ப,vazhakkenpa
ஆருயிர்க்கு,aaruyirkku
என்போடு,enpotu
தொடர்பு,thotarpu
அன்பு,anpu
ஆர்வம்,aarvam
உடைமை,utaimai
அதுஈனும்,adhueenum
நண்பு,nanpu
என்னும்,ennum
நாடாச்,naataach
அன்புற்று,anputru
அமர்ந்த,amarndha
வையகத்து,vaiyakaththu
இன்புற்றார்,inputraar
எய்தும்,eydhum
அறத்திற்கே,araththirke
அன்புசார்,anpusaar
பென்ப,penpa
அறியார்,ariyaar
மறத்திற்கும்,maraththirkum
அஃதே,aqdhe
என்பி,enpi
லதனை,ladhanai
வெயில்போலக்,veyilpolak
காயுமே,kaayume
அன்பி,anpi
அன்பகத்,anpakath
தில்லா,thillaa
உயிர்வாழ்க்கை,uyirvaazhkkai
வன்பாற்கண்,vanpaarkan
வற்றல்,vatral
மரந்தளிர்த்,marandhalirth
தற்று,thatru
புறத்துறுப்,puraththurup
பெல்லாம்,pellaam
எவன்செய்பும்,evanseyyum
யாக்கை,yaakkai
அகத்துறுப்பு,akaththuruppu
லவர்க்கு,lavarkku
அன்பின்,anpin
வழியது,vazhiyadhu
உயிர்நிலை,uyirnilai
அஃதிலார்க்கு,aqdhilaarkku
என்புதோல்,enpudhol
போர்த்த,porththa
உடம்பு,utampu
இருந்தோம்பி,irundhompi
இல்வாழ்வ,ilvaazhva
தெல்லாம்,thellaam
விருந்தோம்பி,virundhompi
வேளாண்மை,velaanmai
செய்தற்,seydhar
பொருட்டு,poruttu
விருந்து,virundhu
புறத்ததாத்,puraththadhaath
தானுண்டல்,thaanuntal
சாவா,saavaa
மருந்தெனினும்,marundheninum
வேண்டற்பாற்,ventarpaar
றன்று,randru
வருவிருந்து,varuvirundhu
வைகலும்,vaikalum
ஓம்புவான்,ompuvaan
பருவந்து,paruvandhu
பாழ்படுதல்,paazhpatudhal
இன்று,indru
அகனமர்ந்து,akanamarndhu
செய்யாள்,seyyaal
உறையும்,uraiyum
முகனமர்ந்து,mukanamarndhu
நல்விருந்து,nalvirundhu
வித்தும்,viththum
இடல்வேண்டும்,italventum
கொல்லோ,kollo
மிச்சில்,michchil
மிசைவான்,misaivaan
புலம்,pulam
செல்விருந்து,selvirundhu
ஓம்பி,ompi
பார்த்திருப்பான்,paarththiruppaan
நல்வருந்து,nalvarundhu
வானத்,vaanath
தவர்க்கு,thavarkku
இனைத்துணைத்,inaiththunaith
தென்பதொன்,thenpadhon
றில்லை,rillai
விருந்தின்,virundhin
துணைத்துணை,thunaiththunai
வேள்விப்,velvip
பயன்,payan
பரிந்தோம்பிப்,parindhompip
பற்றற்றேம்,patratrem
என்பர்,enpar
வேள்வி,velvi
தலைப்படா,thalaippataa
உடைமையுள்,utaimaiyul
இன்மை,inmai
விருந்தோம்பல்,virundhompal
ஓம்பா,ompaa
மடமை,matamai
மடவார்கண்,matavaarkan
உண்டு,untu
மோப்பக்,moppak
குழையும்,kuzhaiyum
அனிச்சம்,anichcham
முகந்திரிந்து,mukandhirindhu
நோக்கக்,nokkak
குநழ்யும்,kuzhaiyum
இன்சொலால்,insolaal
ஈரம்,eeram
அளைஇப்,alaiip
படிறுஇலவாம்,patiruilavaam
செம்பொருள்,semporul
கண்டார்வாய்ச்,kantaarvaaich
அகன்அமர்ந்து,akanamarndhu
ஈதலின்,eedhalin
நன்றே,nandre
இன்சொலன்,insolan
ஆகப்,aakap
முகத்தான்,mukaththaan
அமர்ந்து,amarndhu
நோக்கி,nokki
அகத்தானாம்,akaththaanaam
இன்சொ,inso
லினதே,linadhe
துன்புறூஉம்,thunpurooum
துவ்வாமை,thuvvaamai
இல்லாகும்,illaakum
யார்மாட்டும்,yaarmaattum
இன்புறூஉம்,inpurooum
பணிவுடையன்,panivutaiyan
அணியல்ல,aniyalla
மற்றுப்,matrup
அல்லவை,allavai
தேய,theya
அறம்பெருகும்,aramperukum
நல்லவை,nallavai
நாடி,naati
இனிய,iniya
சொலின்,solin
நயன்,nayan
ஈன்று,eendru
பயக்கும்,payakkum
பயன்ஈன்று,payaneendru
பண்பின்,panpin
தலைப்பிரியாச்,thalaippiriyaach
சிறுமையுவு,sirumaiyul
நீங்கிய,neengiya
இன்சொல்,insol
மறுமையும்,marumaiyum
இம்மையும்,immaiyum
இனிதீன்றல்,inidheendral
காண்பான்,kaanpaan
எவன்கொலோ,evankolo
வன்சொல்,vansol
வழங்கு,vazhangu
வது,vadhu
உளவாக,ulavaaka
இன்னாத,innaadha
கூறல்,kooral
கனிஇருப்பக்,kaniiruppak
காய்கவர்ந்,kaaikavarn
செய்யாமல்,seyyaamal
செய்த,"seydha, cheydha"
உதவிக்கு,udhavikku
வையகமும்,vaiyakamum
வானகமும்,vaanakamum
காலத்தி,kaalaththi
னாற்செய்த,naarseydha
சிறிதெனினும்,siridheninum
ஞாலத்தின்,gnaalaththin
மாணப்,maanap
பெரிது,peridhu
பயன்தூக்கார்,payandhookkaar
நயன்தூக்கின்,nayandhookkin
நன்மை,nanmai
கடலின்,katalin
தினைத்துணை,thinaiththunai
செயினும்,seyinum
பனைத்துணையாக்,panaiththunaiyaak
கொள்வர்,kolvar
பயன்தெரி,payandheri
வரைத்தன்று,varaiththandru
செயப்பட்டார்,seyappattaar
சால்பின்,saalpin
வரைத்து,varaiththu
மறவற்க,maravarka
மாசற்றார்,maasatraar
கேண்மை,kenmai
துறவற்க,thuravarka
துன்பத்துள்,thunpaththul
துப்பாயார்,thuppaayaar
நட்பு,natpu
எழுமை,ezhumai
உள்ளுவர்,ulluvar
தங்கண்,thangan
விழுமந்,vizhuman
துடைத்தவர்,thutaiththavar
மறப்பது,marappadhu
நன்றன்று,nandrandru
நன்றல்லது,nandralladhu
அன்றே,andre
கொன்றன்ன,kondranna
இன்னா,innaa
அவர்செய்த,avarseydha
ஒன்றுநன்று,ondrunandru
உள்ளக்,ullak
கெடும்,ketum
எந்நன்றி,ennandri
கொன்றார்க்கும்,kondraarkkum
உய்வுண்டாம்,uyvuntaam
உய்வில்லை,uyvillai
செய்ந்நன்றி,seynnandri
கொன்ற,kondra
மகற்கு,makarku
தகுதி,thakudhi
எனவொன்று,enavondru
பகுதியால்,pakudhiyaal
பாற்பட்டு,paarpattu
ஒழுகப்,ozhukap
செப்பம்,seppam
உடையவன்,utaiyavan
ஆக்கஞ்,aakkanj
சிதைவின்றி,chidhaivindri
எச்சத்திற்,echchaththir
கேமாப்பு,kemaappu
தரினும்,tharinum
நடுவிகந்தாம்,natuvikandhaam
