Tamil,English
அறிகொன்று,arikondru
அறியான்,ariyaan
உறுதி,urudhi
உழையிருந்தான்,uzhaiyirundhaan
கடன்,katan
பழுதெண்ணும்,pazhudhennum
மந்திரியின்,mandhiriyin
பக்கததுள்,pakkadhadhul
தெவ்வோர்,thevvor
எழுபது,ezhupadhu
உறும்,urum
முறைப்படச்,muraippatach
சூழ்ந்தும்,choozhndhum
முடிவிலவே,mutivilave
செய்வர்,seyvar
திறப்பாடு,thirappaatu
இலாஅ,ilaaa
நாநலம்,naanalam
நலனுடைமை,nalanutaimai
அந்நலம்,annalam
யாநலத்து,yaanalaththu
உள்ளதூஉம்,ulladhooum
அன்று,andru
ஆக்கமுங்,aakkamung
அதனால்,adhanaal
காத்தோம்பல்,kaaththompal
சொல்லின்கட்,sollinkat
கேட்டார்ப்,kettaarp
தகையவாய்க்,thakaiyavaaik
கேளாரும்,kelaarum
வேட்ப,vetpa
மொழிவதாம்,mozhivadhaam
சொல்லை,sollai
பொருளும்,porulum
அதனினூஉங்கு,adhaninooungu
சொல்லைப்,sollaip
பிறிதோர்சொல்,piridhorsol
அச்சொல்லை,achchollai
வெல்லுஞ்சொல்,vellunjol
வேட்பத்தாஞ்,vetpaththaanj
சொல்லிப்,chollip
பிறர்சொல்,pirarsol
பயன்கோடல்,payankotal
மாட்சியின்,maatchiyin
சொலல்வல்லன்,solalvallan
சோர்விலன்,sorvilan
அஞ்சான்,anjaan
இகல்வெல்லல்,ikalvellal
தொழில்கேட்கும்,thozhilketkum
நிரந்தினிது,nirandhinidhu
சொல்லுதல்,solludhal
வல்லார்ப்,vallaarp
பலசொல்லக்,palasollak
மன்றமா,mandramaa
சற்ற,satra
சிலசொல்லல்,silasollal
இண்ருழ்த்தும்,inaruzhththum
நாறா,naaraa
மலரனையர்,malaranaiyar
கற்றது,katradhu
உணர,unara
விரித்துரையா,viriththuraiyaa
துணைநலம்,thunainalam
த்ருஉம்,tharuum
வினைநலம்,vinainalam
ஒருவுதல்,oruvudhal
ஒஓதல்,oodhal
ஒளிமாழ்கும்,olimaazhkum
ஆஅதும்,aaadhum
என்னு,ennu
மவர்,mavar
படினும்,patinum
இளிவந்த,ilivandha
நடுக்கற்ற,natukkatra
எற்றென்று,etrendru
இரங்குவ,iranguva
செய்வானேல்,seyvaanel
மற்றன்ன,matranna
ஈன்றாள்,eendraal
பசிகாண்பான்,pasikaanpaan
ஆயினுஞ்,aayinunj
பழிக்கும்,pazhikkum
பழிமலைந்து,pazhimalaindhu
எய்திய,eydhiya
ஆக்கத்தின்,aakkaththin
கழிநல்,kazhinal
குரவே,kurave
கடிந்த,katindha
கடிந்தொரார்,katindhoraar
செய்தார்க்கு,seydhaarkku
அவைதாம்,avaidhaam
முடிந்தாலும்,mutindhaalum
பீழை,peezhai
அழக்,azhak
கொண்ட,konta
அழப்போம்,azhappom
இழப்பினும்,izhappinum
பிற்பயக்கும்,pirpayakkum
நற்பா,narpaa
லவை,lavai
சலத்தால்,salaththaal
பொருள்செய்தே,porulseydhe
மார்த்தல்,maarththal
பசுமண்,pasuman
கலத்துள்நீர்,kalaththulneer
பெய்திரீஇ,peydhireei
வினைத்திட்பம்,vinaiththitpam
மனத்திட்பம்,manaththitpam
ஊறொரால்,oororaal
உற்றபின்,utrapin
ஒல்காமை,olkaamai
இவ்விரண்டின்,ivvirantin
ஆறென்பர்,aarenpar
ஆய்ந்தவர்,aaindhavar
கடைக்கொட்கச்,kataikkotkach
தாண்மை,thaanmai
இடைக்கொட்கின்,itaikkotkin
எற்றா,etraa
எளிய,eliya
அரியவாம்,ariyavaam
சொல்லிய,solliya
வண்ணம்,vannam
வீறெய்தி,veereydhi
வேந்தன்கண்,vendhankan
ஊறெய்தி,ooreydhi
எண்ணிய,enniya
எண்ணியாங்கு,enniyaangu
திண்ணியர்,thinniyar
உருவுகண்டு,uruvukantu
உருள்பெருந்தேர்க்கு,urulperundherkku
அச்சாணி,achchaani
அன்னார்,annaar
கண்ட,kanta
துளங்காது,thulangaadhu
தூக்கங்,thookkang
கடிந்து,katindhu
உறவரினும்,uravarinum
துணிவாற்றி,thunivaatri
எனைத்திட்பம்,enaiththitpam
எய்,ey
தியக்,thiyak
வேண்டாரை,ventaarai
வேண்டாது,ventaadhu
சூழ்ச்சி,soozhchchi
முடிவு,mutivu
துணிவெய்தல்,thuniveydhal
அத்துணிவு,aththunivu
தாழ்ச்சியுள்,thaazhchchiyul
தங்குதல்,thangudhal
தீது,theedhu
தூங்குக,thoonguka
தூங்கிச்,thoongich
தூங்கற்க,thoongarka
தூங்காது,thoongaadhu
ஙல்லும்வா,ollumvaa
வினைநன்றே,vinainandre
ஒல்லாக்கால்,ollaakkaal
நோக்கிச்,nokkich
வினைபகை,vinaipakai
என்றிரண்டின்,endrirantin
நினையுங்கால்,ninaiyungaal
தீயெச்சம்,theeyechcham
போலத்,polath
தெறும்,therum
பொருள்கருவி,porulkaruvi
வினையிடனொடு,vinaiyitanotu
இருள்தீர,iruldheera
முடிவும்,mutivum
இடையூறும்,itaiyoorum
முற்றியாங்கு,mutriyaangu
படுபயனும்,patupayanum
பார்த்துச்,paarththuch
செய்வான்,"cheyvaan, seyvaan"
செயன்முறை,seyanmurai
அவ்வினை,avvinai
உள்ளறிவான்,ullarivaan
வினையாக்கிக்,vinaiyaakkik
கோடல்,kotal
நனைகவுள்,nanaikavul
யானையால்,yaanaiyaal
யானையாத்,yaanaiyaath
நட்டார்க்கு,nattaarkku
செயலின்,seyalin
விரைந்ததே,viraindhadhe
ஒட்டாரை,ottaarai
ஒட்டிக்,ottik
உறைசிறியார்,uraisiriyaar
உள்நடுங்கல்,ulnatungal
அஞ்சிக்,anjik
குறைபெறின்,kuraiperin
பெரியார்ப்,periyaarp
பணிந்து,panindhu
அன்புடைமை,anputaimai
குடிப்பிறத்தல்,kutippiraththal
வேந்தவாம்,vendhavaam
பண்புடைமை,panputaimai
தூதுரைப்பான்,thoodhuraippaan
பண்பு,panpu
ஆராய்ந்த,aaraaindha
சொல்வன்மை,solvanmai
தூதுரைப்பார்க்கு,thoodhuraippaarkku
யமையாத,yamaiyaadha
மூன்று,moondru
நூலாருள்,noolaarul
நூல்வல்லன்,noolvallan
ஆகுதல்,aakudhal
வேலாருள்,velaarul
வினையுரைப்பான்,vinaiyuraippaan
அறிவுரு,arivuru
வாராய்ந்த,vaaraaindha
கல்விஇம்,kalviim
மூன்றன்,moondran
செறிவுடையான்,serivutaiyaan
செல்க,selka
வினைக்கு,vinaikku
தொகச்,thokach
சொல்லித்,chollith
தூவாத,thoovaadha
பயப்பதாந்,payappadhaan
தூது,thoodhu
கற்றுக்கண்,katrukkan
செலச்சொல்லிக்,selachchollik
காலத்தால்,kaalaththaal
தக்கது,thakkadhu
அறிவதாம்,arivadhaam
கடனறிந்து,katanarindhu
காலங்,kaalang
துணைமை,thunaimai
இம்மூன்றின்,immoondrin
வழியுரைப்பான்,vazhiyuraippaan
விடுமாற்றம்,vitumaatram
வடுமாற்றம்,vatumaatram
வாய்சேரா,vaaiseraa
வன்கணவன்,vankanavan
இறுதி,irudhi
பயப்பினும்,payappinum
எஞ்சாது,enjaadhu
இறைவற்கு,iraivarku
பயப்பதாம்,payappadhaam
அகலாது,akalaadhu
அணுகாது,anukaadhu
தீக்காய்வார்,theekkaaivaar
போல்க,polka
இகல்வேந்தர்ச்,ikalvendharch
சேர்ந்தொழுகு,cherndhozhuku
மன்னர்,mannar
விழைப,vizhaipa
விழையாமை,vizhaiyaamai
மன்னரால்,mannaraal
மன்னிய,manniya
ஆக்கந்,aakkan
போற்றின்,potrin
அரியவை,ariyavai
போற்றல்,potral
கடுத்தபின்,katuththapin
தேற்றுதல்,thetrudhal
செவிச்சொல்லும்,sevichchollum
சேர்ந்த,serndha
அவித்தொழுகல்,aviththozhukal
பெரியா,periyaa
எப்பொருளும்,epporulum
ஓரார்,oraar
தொடரார்மற்,thotaraarmar
றப்பொருளை,rapporulai
விட்டக்கால்,vittakkaal
குறிப்பறிந்து,kuripparindhu
வெறுப்பில,veruppila
வேண்டுப,ventupa
வேட்பச்,vetpach
வேட்பன,vetpana
சொல்லி,solli
வினையில,vinaiyila
இளையர்,ilaiyar
இனமுறையர்,inamuraiyar
என்றிகழார்,endrikazhaar
ஒளியோடு,oliyotu
கொளப்பட்டேம்,kolappattem
என்றெண்ணிக்,endrennik
துளக்கற்ற,thulakkatra
பழையம்,pazhaiyam
எனக்கருதிப்,enakkarudhip
பண்பல்ல,panpalla
கெழுதகைமை,kezhudhakaimai
கூறாமை,kooraamai
நோக்கிக்,nokkake
குறிப்பறிவான்,kuripparivaan
மாறாநீர்,maaraaneer
வையக்,vaiyak
ஐயப்,aiyap
படாஅது,pataaadhu
அகத்தது,akaththadhu
உணர்வானைத்,unarvaanaith
தெய்வத்தோ,theyvaththo
டொப்பக்,toppak
குறிப்பிற்,kurippir
குறிப்புணர்,kurippunar
வாரை,vaarai
உறுப்பினுள்,uruppinul
யாது,yaadhu
கொடுத்தும்,kotuththum
குறித்தது,kuriththadhu
கூறாமைக்,kooraamaik
கொள்வாரோ,kolvaaro
டேனை,tenai
உறுப்போ,uruppo
ரனையரால்,ranaiyaraal
குறிப்புணரா,kurippunaraa
என்ன,enna
பயத்தவோ,payaththavo
அடுத்தது,atuththadhu
காட்டும்,kaattum
பளிங்குபோல்,palingupol
கடுத்தது,katuththadhu
முகம்,mukam
முகத்தின்,mukaththin
முதுக்குறைந்தது,mudhukkuraindhadhu
உவப்பினும்,uvappinum
காயினும்,kaayinum
முகம்நோக்கி,mukamnokki
அகம்நோக்கி,akamnokki
துணர்வார்ப்,thunarvaarp
பகைமையும்,pakaimaiyum
கேண்மையும்,kenmaiyum
கண்ணுரைக்கும்,kannuraikkum
கண்ணின்,kannin
வகைமை,vakaimai
நுண்ணியம்,nunniyam
அளக்குங்கோல்,alakkungol
காணுங்கால்,kaanungaal
கண்ணல்லது,kannalladhu
அவையறிநது,avaiyarinadhu
ஆராய்ந்து,aaraaindhu
சொல்லின்,sollin
தொகையறிந்த,thokaiyarindha
இடைதெரிந்து,itaidherindhu
நன்குணர்ந்து,nankunarndhu
நடைதெரிந்த,nataidherindha
அவையறியார்,avaiyariyaar
சொல்லல்மேற்,sollalmer
கொள்பவர்,kolpavar
வகையறியார்,vakaiyariyaar
வல்லதூஉம்,valladhooum
ஒளியார்முன்,oliyaarmun
ஒள்ளிய,olliya
வெளியார்முன்,veliyaarmun
வான்சுதை,vaansudhai
நன்றென்ற,nandrendra
வற்றுள்ளும்,vatrullum
முதுவருள்,mudhuvarul
கிளவாச்,kilavaach
செறிவு,cherivu
நிலைதளர்ந்,nilaidhalarn
வியன்புலம்,viyanpulam
ஏற்றுணர்வார்,etrunarvaar
முன்னர்,munnar
கற்றறிந்தார்,katrarindhaar
விளங்கும்,vilangum
கசடறச்,kasatarach
சொல்தெரிதல்,choldheridhal
வல்லார்,vallaar
அகத்து,akaththu
உணர்வ,unarva
துடையார்முன்,thutaiyaarmun
வளர்வதன்,valarvadhan
பாத்தியுள்,paaththiyul
நீர்சொரிந்,neersorin
புல்லவையுள்,pullavaiyul
பொச்சாந்தும்,pochchaandhum
நல்லவையுள்,nallavaiyul
நன்குசலச்,nankusalach
சொல்லு,chollu
அங்கணத்துள்,anganaththul
உக்க,ukka
அமிழ்தற்றால்,amizhdhatraal
தங்கணத்தார்,thanganaththaar
அல்லார்முன்,allaarmun
வகையறிந்து,vakaiyarindhu
வல்லவை,vallavai
வாய்சோரார்,vaaisoraar
கற்றாருள்,katraarul
எனப்படுவர்,enappatuvar
செலச்சொல்லு,selachchollu
பகையகத்துச்,pakaiyakaththuch
சாவார்,chaavaar
எளியர்,eliyar
அரியர்,ariyar
அவையகத்து,avaiyakaththu
அஞ்சா,anjaa
தாம்கற்ற,thaamkatra
மிக்காருள்,mikkaarul
அவையஞ்சா,avaiyanjaa
மாற்றங்,maatrang
கொடுத்தற்,kotuththar
வாளொடென்,vaaloten
வன்கண்ணர்,vankannar
அல்லார்க்கு,allaarkku
நூலொடென்,nooloten
நுண்ணவை,nunnavai
பகையகத்துப்,pakaiyakaththup
ஒள்வாள்,olvaal
மவன்கற்ற,mavankatra
பல்லவை,pallavai
கற்றும்,katrum
பயமிலரே,payamilare
செலச்சொல்லா,selachchollaa
தவரின்,thavarin
கடையென்ப,kataiyenpa
கற்றறிந்தும்,katrarindhum
நல்லா,nallaa
ரவையஞ்சு,ravaiyanju
உளரெனினும்,ulareninum
இல்லாரொடு,illaarotu
ஒப்பர்,oppar
களன்அஞ்சிக்,kalananjik
தள்ளா,thallaa
தக்காரும்,thakkaarum
தாழ்விலாச்,thaazhvilaach
செல்வரும்,chelvarum
சேர்வது,servadhu
பெரும்பொருளால்,perumporulaal
பெட்டக்க,pettakka
அருங்கேட்டால்,arungettaal
விளைவது,vilaivadhu
பொறையொருங்கு,poraiyorungu
மேல்வருங்கால்,melvarungaal
தாங்கி,thaangi
இறையொருங்கு,iraiyorungu
நேர்வது,nervadhu
உறுபசியும்,urupasiyum
ஓவாப்,ovaap
பிணியும்,piniyum
செறுபகையும்,serupakaiyum
தியல்வது,thiyalvadhu
பல்குழுவும்,palkuzhuvum
பாழ்செய்யும்,paazhseyyum
உட்பகையும்,utpakaiyum
வேந்தலைக்கும்,vendhalaikkum
கொல்குறும்பும்,kolkurumpum
கேடறியாக்,ketariyaak
கெட்ட,ketta
இடத்தும்,itaththum
வளங்குன்றா,valangundraa
நாடென்ப,naatenpa
நாட்டின்,naattin
இருபுனலும்,irupunalum
வாய்ந்த,vaaindha
மலையும்,malaiyum
வருபுனலும்,varupunalum
வல்லரணும்,vallaranum
நாட்டிற்கு,naattirku
உறுப்பு,uruppu
பிணியின்மை,piniyinmai
விளைவின்பம்,vilaivinpam
ஏமம்,emam
அணியென்ப,aniyenpa
நாட்டிவ்,naattiv
வைந்து,vaindhu
நாடா,naataa
வளத்தன,valaththana
நாடல்ல,naatalla
நாட,naata
வளந்தரு,valandharu
ஆங்கமை,aangamai
வெய்தியக்,veydhiyak
வேந்தமை,vendhamai
ஆற்று,aatru
பவர்க்கும்,pavarkkum
அரண்பொருள்,aranporul
அஞ்சித்தற்,anjiththar
போற்று,potru
மணிநீரும்,manineerum
மண்ணும்,mannum
அணிநிழற்,aninizhar
காடும்,kaatum
தரண்,tharan
உயர்வகலம்,uyarvakalam
திண்மை,thinmai
அருமைஇந்,arumaiin
அமைவரண்,amaivaran
சிறுகாப்பிற்,sirukaappir
பேரிடத்த,peritaththa
உறுபகை,urupakai
அழிப்ப,azhippa
கொளற்கரிதாய்க்,kolarkaridhaaik
கொண்டகூழ்த்,kontakoozhth
அகத்தார்,akaththaar
நிலைக்கெளிதாம்,nilaikkelidhaam
நீரது,neeradhu
உடைத்தாய்,utaiththaai
இடத்துதவும்,itaththudhavum
நல்லாள்,nallaal
முற்றியும்,mutriyum
முற்றா,mutraa
தெறிந்தும்,therindhum
அறைப்படுத்தும்,araippatuththum
பற்றற்,patrar
முற்றாற்றி,mutraatri
முற்றி,mutri
யவரையும்,yavaraiyum
பற்றாற்றிப்,patraatrip
பற்றியார்,patriyaar
வெல்வது,velvadhu
முனைமுகத்து,munaimukaththu
மாற்றலர்,maatralar
சாய,saaya
வினைமுகத்து,vinaimukaththu
தாகியக்,thaakiyak
வினைமாட்சி,vinaimaatchi
இல்லார்கண்,illaarkan
பொருளல்,porulal
லவரைப்,lavaraip
பொருளாகச்,porulaakach
இல்லாரை,illaarai
எள்ளுவர்,elluvar
செல்வரை,selvarai
பொருளென்னும்,porulennum
இருளறுக்கும்,irularukkum
தேயத்துச்,theyaththuch
சென்று,"sendru, chendru"
அறன்ஈனும்,araneenum
இன்பமும்,inpamum
தீதின்றி,theedhindri
வந்த,vandha
அருளொடும்,arulotum
அன்பொடும்,anpotum
வாராப்,vaaraap
பொருளாக்கம்,porulaakkam
புல்லார்,pullaar
புரள,purala
உறுபொருளும்,uruporulum
உல்கு,ulku
பொருளும்தன்,porulumdhan
தெறுபொருளும்,theruporulum
அருளென்னும்,arulennum
அன்பீன்,anpeen
குழவி,kuzhavi
செல்வச்,selvach
செவிலியால்,cheviliyaal
யானைப்,yaanaip
போர்,por
தன்கைத்தொன்று,thankaiththondru
உண்டாகச்,untaakach
பொருளைச்,porulaich
செறுநர்,cherunar
செருக்கறுக்கும்,serukkarukkum
எஃகதனிற்,eqkadhanir
கூரிய,kooriya
ஒண்பொருள்,onporul
காழ்ப்ப,kaazhppa
இயற்றியார்க்கு,iyatriyaarkku
எண்பொருள்,enporul
உறுப்பமைந்து,uruppamaindhu
ஊறஞ்சா,ooranjaa
வெல்படை,velpatai
வெறுக்கையுள்,verukkaiyul
உலைவிடத்து,ulaivitaththu
தொலைவிடத்துத்,tholaivitaththuth
தொல்படைக்,tholpataik
ஒலித்தக்கால்,oliththakkaal
உவரி,uvari
எலிப்பகை,elippakai
நாகம்,naakam
உயிர்ப்பக்,uyirppak
அழிவின்றி,azhivindri
அறைபோகா,araipokaa
வழிவந்த,vazhivandha
ணதுவே,nadhuve
கூற்றுடன்று,kootrutandru
மேல்வரினும்,melvarinum
கூடி,kooti
எதிர்நிற்கும்,edhirnirkum
லதுவே,ladhuve
மறமானம்,maramaanam
வழிச்செலவு,vazhichchelavu
எனநான்கே,enanaanke
படைக்கு,pataikku
தார்தாங்கிச்,thaardhaangich
செல்வது,chelvadhu
தானை,thaanai
தலைவந்த,thalaivandha
போர்தாங்கும்,pordhaangum
தன்மை,thanmai
அடல்தகையும்,ataldhakaiyum
ஆற்றலும்,aatralum
படைத்தகையால்,pataiththakaiyaal
பெறும்,perum
செல்லாத்,sellaath
துனியும்,thuniyum
வறுமையும்,varumaiyum
நிலைமக்கள்,nilaimakkal
உடைத்தெனினும்,utaiththeninum
தலைமக்கள்,thalaimakkal
இல்வழி,ilvazhi
என்னைமுன்,ennaimun
நில்லன்மின்,nillanmin
தெவ்விர்,thevvir
பலரென்னை,palarennai
முன்நின்று,munnindru
கல்நின்,kalnin
றவர்,ravar
கான,kaana
முயலெய்த,muyaleydha
அம்பினில்,ampinil
பிழைத்தவேல்,pizhaiththavel
ஏந்தல்,endhal
தறுகண்ஒன்,tharukanon
றுற்றக்கால்,rutrakkaal
ஊராண்மை,ooraanmai
எஃகு,eqku
கைவேல்,kaivel
களிற்றொடு,kalitrotu
போக்கி,pokki
வருபவன்,varupavan
மெய்வேல்,meyvel
பறியா,pariyaa
விழித்தகண்,vizhiththakan
வேல்கொண,velkona
டெறிய,teriya
அழித்திமைப்பின்,azhiththimaippin
ஒட்டன்றோ,ottandro
ணவர்க்கு,navarkku
விழுப்புண்,vizhuppun
படாதநாள்,pataadhanaal
வழுக்கினுள்,vazhukkinul
வைக்கும்தன்,vaikkumdhan
நாளை,naalai
எடுத்து,etuththu
சுழலும்,suzhalum
இசைவேண்டி,isaiventi
உயிரார்,uyiraar
கழல்யாப்புக்,kazhalyaappuk
உறின்உயிர்,urinuyir
மறவர்,maravar
செறினும்,serinum
சீர்குன்றல்,seerkundral
இழைத்தது,izhaiththadhu
இகவாமைச்,ikavaamaich
சாவாரை,chaavaarai
பிழைத்தது,pizhaiththadhu
ஒறுக்கிற்,orukkir
புரந்தார்கண்,purandhaarkan
நீர்மல்கச்,neermalkach
சாகிற்பின்,chaakirpin
இரந்துகோள்,irandhukol
நட்பின்,natpin
அதுபோல்,adhupol
வினைக்கரிய,vinaikkariya
காப்பு,kaappu
நிறைநீர,niraineera
நீரவர்,neeravar
பிறைமதிப்,piraimadhip
பின்னீர,pinneera
நவில்தொறும்,navildhorum
நூல்நயம்,noolnayam
பயில்தொறும்,payildhorum
யாளர்,yaalar
நகுதற்,nakudhar
பொருட்டன்று,poruttandru
நட்டல்,nattal
மிகுதிக்கண்,mikudhikkan
மேற்செனறு,mersenaru
இடித்தற்,itiththar
புணர்ச்சி,punarchchi
பழகுதல்,pazhakudhal
உணர்ச்சிதான்,unarchchidhaan
நட்பாங்,natpaang
கிழமை,kizhamai
முகநக,mukanaka
நட்பது,natpadhu
நட்பன்று,natpandru
அகநக,akanaka
அழிவி,azhivi
னவைநீக்கி,navaineekki
ஆறுய்த்து,aaruyththu
அழிவின்கண்,azhivinkan
உழப்பதாம்,uzhappadhaam
உடுக்கை,utukkai
இழந்தவன்,izhandhavan
கைபோல,kaipola
களைவதாம்,kalaivadhaam
நட்பிற்கு,natpirku
வீற்றிருக்கை,veetrirukkai
கொட்பின்றி,kotpindri
ஒல்லும்வாய்,ollumvaai
ஊன்றும்,oondrum
இனையர்,inaiyar
இவரெமக்கு,ivaremakku
இன்னம்யாம்,innamyaam
புனையினும்,punaiyinum
புல்லென்னும்,pullennum
நாடாது,naataadhu
நட்டலிற்,nattalir
நட்டபின்,nattapin
வீடில்லை,veetillai
நட்பாள்,natpaal
ஆய்ந்தாய்ந்து,aaindhaaindhu
கொள்ளாதான்,kollaadhaan
கடைமுறை,kataimurai
தான்சாம்,thaansaam
துயரம்,thuyaram
குணமும்,kunamum
குடிமையும்,kutimaiyum
இனனும்,inanum
அறிந்தியாக்க,arindhiyaakka
தன்கண்,thankan
வானைக்,vaanaik
கொளல்வேண்டும்,kolalventum
அழச்சொல்லி,azhachcholli
அல்லது,alladhu
இடித்து,itiththu
வழக்கறிய,vazhakkariya
வல்லார்நடபு,vallaarnatapu
ஆய்ந்து,aaindhu
கேட்டினும்,kettinum
உண்டோர்,untor
கிளைஞரை,kilaignarai
நீட்டி,neetti
அளப்பதோர்,alappadhor
ஒருவற்குப்,oruvarkup
ஒரீஇ,oreei
உள்ளற்க,ullarka
சிறுகுவ,sirukuva
கொள்ளற்க,kollarka
அல்லற்கண்,allarkan
ஆற்றறுப்பார்,aatraruppaar
கெடுங்காலைக்,ketungaalaik
கைவிடுவார்,kaivituvaar
அடுங்காலை,atungaalai
உள்ளினும்,ullinum
உள்ளஞ்,ullanj
மருவுக,maruvuka
கேண்மைஒன்,kenmaion
றீத்தும்,reeththum
ஒருவுக,oruvuka
ஒப்பிலார்,oppilaar
பழைமை,pazhaimai
யாதும்,yaadhum
கிழமையைக்,kizhamaiyaik
கீழ்ந்திடா,keezhndhitaa
நட்பிற்,natpir
குறுப்புக்,kuruppuk
மற்றதற்கு,matradharku
உப்பாதல்,uppaadhal
பழகிய,pazhakiya
நட்பெவன்,natpevan
செய்யுங்,seyyung
செய்தாங்கு,seydhaangu
அமையாக்,amaiyaak
விழைதகையான்,vizhaidhakaiyaan
கெழுதகையாற்,kezhudhakaiyaar
கேளாது,kelaadhu
நட்டார்,nattaar
ஒன்றோ,ondro
பெருங்கிழமை,perungizhamai
என்றுணர்க,endrunarka
நோதக்க,nodhakka
எல்லைக்கண்,ellaikkan
தொலைவிடத்தும்,tholaivitaththum
தொல்லைக்கண்,thollaikkan
அழிவந்த,azhivandha
அன்பறார்,anparaar
கேளிழுக்கம்,kelizhukkam
கேளாக்,kelaak
நாளிழுக்கம்,naalizhukkam
கெடாஅ,ketaaa
கேண்மையார்,kenmaiyaar
விடாஅர்,vitaaar
விழையும்,vizhaiyum
விழையார்,vizhaiyaar
விழையப்,vizhaiyap
படுப,patupa
பழையார்கண்,pazhaiyaarkan
தலைப்பிரியா,thalaippiriyaa
பருகுவார்,parukuvaar
போலினும்,polinum
பண்பிலார்,panpilaar
பெருகலிற்,perukalir
குன்றல்,kundral
உறின்நட்டு,urinnattu
அறின்ஙருஉம்,arinoruum
உறுவது,uruvadhu
சீர்தூக்கும்,seerdhookkum
நட்பும்,natpum
பெறுவது,peruvadhu
கொள்வாரும்,kolvaarum
கள்வரும்,kalvarum
அமரகத்து,amarakaththu
ஆற்றறுக்கும்,aatrarukkum
கல்லாமா,kallaamaa
தமரின்,thamarin
தனிமை,thanimai
செய்தேமஞ்,seydhemanj
சாராச்,chaaraach
சிறியவர்,chiriyavar
புன்கேண்மை,punkenmai
எய்தலின்,eydhalin
எய்தாமை,eydhaamai
பெருங்கெழீஇ,perungezheei
ஏதின்மை,edhinmai
நகைவகைய,nakaivakaiya
பகைவரால்,pakaivaraal
உடற்று,utatru
பவர்கேண்மை,pavarkenmai
சொல்லாடார்,sollaataar
சோர,sora
கனவினும்,kanavinum
மன்னோ,manno
வினைவேறு,vinaiveru
சொல்வேறு,solveru
பட்டார்,pattaar
எனைத்தும்,enaiththum
குறுகுதல்,kurukudhal
மனைக்கெழீஇ,manaikkezheei
மன்றில்,mandril
பழிப்பார்,pazhippaar
சீரிடம்,seeritam
எறிதற்குப்,eridharkup
பட்டடை,pattatai
நேரா,neraa
நிரந்தவர்,nirandhavar
இனம்போன்று,inampondru
இனமல்லார்,inamallaar
மனம்போல,manampola
பலநல்ல,palanalla
கற்றக்,katrak
கடைத்து,kataiththu
மனநல்லர்,mananallar
மாணார்க்,maanaark
கரிது,karidhu
நகாஅ,nakaaa
அகத்தின்னா,akaththinnaa
வஞ்சரை,vanjarai
மனத்தின்,manaththin
அமையா,amaiyaa
தவரை,thavarai
சொல்லினால்,sollinaal
தேறற்பாற்று,therarpaatru
நட்டார்போல்,nattaarpol
ஒட்டார்சொல்,ottaarsol
ஒல்லை,ollai
சொல்வணக்கம்,solvanakkam
ஒன்னார்கண்,onnaarkan
வில்வணக்கம்,vilvanakkam
தீங்கு,theengu
குறித்தமை,kuriththamai
தொழுதகை,thozhudhakai
படையொடுங்கும்,pataiyotungum
ணீரும்,neerum
மிகச்செய்து,mikachcheydhu
தம்மெள்ளு,thammellu
நகச்செய்து,nakachcheydhu
நட்பினுள்,natpinul
சாப்புல்லற்,saappullar
பகைநட்பாம்,pakainatpaam
முகநட்டு,mukanattu
அகநட்பு,akanatpu
என்பதொன்று,enpadhondru
ஏதங்கொண்டு,edhangontu
போக,poka
பேதைமையுள்,pedhaimaiyul
கையல்ல,kaiyalla
தன்கட்,thankat
நாணாமை,naanaamai
நாடாமை,naataamai
நாரின்மை,naarinmai
பேணாமை,penaamai
ஓதி,odhi
உணர்ந்தும்,unarndhum
பிறர்க்குரைத்தும்,pirarkkuraiththum
தானடங்காப்,thaanatangaap
பேதையின்,pedhaiyin
ஒருமைச்,orumaich
செயலாற்றும்,cheyalaatrum
தான்புக்,thaanpuk
கழுந்தும்,kazhundhum
பொய்படும்,poipatum
புனைபூணும்,punaipoonum
கையறியாப்,kaiyariyaap
வினைமேற்,vinaimer
கொளின்,kolin
ஆரத்,aarath
தமர்பசிப்பர்,thamarpasippar
மையல்,maiyal
களித்தற்றால்,kaliththatraal
பேதைதன்,pedhaidhan
கையொன்று,kaiyondru
பெரிதினிது,peridhinidhu
பிரிவின்கண்,pirivinkan
தருவதொன்,tharuvadhon
கழாஅக்கால்,kazhaaakkaal
பள்ளியுள்,palliyul
வைத்தற்றால்,vaiththatraal
குழாஅத்துப்,kuzhaaaththup
அறிவின்மை,arivinmai
இன்மையுள்,inmaiyul
பிறிதின்மை,piridhinmai
இன்மையா,inmaiyaa
வையா,vaiyaa
அறிவிலான்,arivilaan
நெஞ்சுவந்து,nenjuvandhu
பிறிதியாதும்,piridhiyaadhum
பெறுவான்,peruvaan
தாந்தம்மைப்,thaandhammaip
பீழிக்கும்,peezhikkum
வெண்மை,venmai
எனப்படுவ,enappatuva
தியாதெனின்,thiyaadhenin
ஒண்மை,onmai
உடையம்யாம்,utaiyamyaam
டொழுகல்,tozhukal
கசடற,kasatara
ஐயம்,aiyam
அற்றம்,atram
மறைத்தலோ,maraiththalo
புல்லறிவு,pullarivu
தம்வயின்,thamvayin
மறையா,maraiyaa
வழி,vazhi
அருமறை,arumarai
சோரும்,sorum
பெருமிறை,perumirai
தனக்கு,thanakku
ஏவவும்,evavum
செய்கலான்,seykalaan
தான்தேறான்,thaandheraan
அவ்வுயிர்,avvuyir
போஒம்,poom
